,origin_latitude,origin_longitude,destination_latitude,destination_longitude,regiao,date
38561,-23.5474428,-46.7570686,-23.5472403,-46.7515779,Sao Paulo,2019-05-19 19:31:10.369
6494,-19.963506,-43.940139,-19.9680422,-43.94691479999999,Belo Horizonte,2019-05-19 20:20:36.060
17077,-19.940044,-43.934097,-19.9308,-43.93058900000001,Belo Horizonte,2019-05-20 19:22:42.168
49216,-19.845468,-43.97697700000001,-19.843118,-43.981198,Belo Horizonte,2019-05-19 18:48:37.951
29356,-23.582898,-46.675826,-23.563509,-46.680607,Sao Paulo,2019-05-19 20:43:59.786
13599,-22.786148,-43.285732,-22.782002,-43.286397,Duque De Caxias,2019-05-19 21:11:25.106
4620,-19.9635848,-43.9343295,-19.932205,-43.935372,Belo Horizonte,2019-05-19 19:45:02.720
6587,-23.3422019,-51.1856649,-23.310086,-51.170395,Londrina,2019-05-19 16:16:10.911
29544,-3.7414421,-38.508613,-3.7378269,-38.5056658,Fortaleza,2019-05-20 11:28:37.229
12334,-22.970759,-43.22276760000001,-22.974423,-43.200008,Rio - Zona Sul,2019-05-19 19:17:12.921
27632,-23.445296,-46.5213132,-23.447941,-46.51801500000001,Guarulhos,2019-05-19 20:12:51.059
36380,-23.3125858,-51.147036,-23.320398,-51.157661,Londrina,2019-05-20 11:26:11.500
48050,-22.914959,-43.094839,-22.904128,-43.098004,Niteroi,2019-05-19 22:08:58.162
40774,-23.555497,-46.635922,-23.5637803,-46.63466079999999,Sao Paulo,2019-05-19 13:37:10.799
40559,-8.0623117,-34.8992023,-8.049789,-34.908332,Recife,2019-05-20 19:49:41.070
8369,-19.91695,-43.981714,-19.940836,-43.976353,Belo Horizonte,2019-05-19 11:56:31.689
5191,-12.970648,-38.50539000000001,-12.997088,-38.519048,Salvador,2019-05-19 12:12:55.804
32501,-3.775543700000001,-38.5619871,-3.79341,-38.563894,Fortaleza,2019-05-19 18:53:31.769
43187,-23.545359,-46.644847,-23.544824,-46.632862,Sao Paulo,2019-05-20 13:24:36.694
13417,-22.924062,-43.23141,-22.9277857,-43.22778,Rio - Centro,2019-05-19 16:43:58.177
11670,-16.6589806,-49.2620738,-16.642792,-49.2397528,Goiania,2019-05-20 12:59:49.122
12716,-25.475231,-49.288918,-25.4790347,-49.29699160000001,Curitiba,2019-05-20 19:31:01.219
19018,-8.0316467,-34.9228143,-8.030472,-34.924539,Recife,2019-05-20 11:52:17.932
46033,-19.961304,-43.946235,-19.9269312,-43.9245823,Belo Horizonte,2019-05-20 22:44:24.562
11513,-1.44559,-48.486713,-1.446181,-48.487731,Belem,2019-05-19 22:08:45.345
49010,-23.3089695,-51.1788458,-23.3105418,-51.1792503,Londrina,2019-05-20 11:37:33.851
41584,-18.952737,-48.269431,-18.942356,-48.284103,Uberlandia,2019-05-19 11:33:58.803
49174,-23.5042049,-46.6407498,-23.4784895,-46.637252200000006,Sao Paulo,2019-05-19 13:54:14.154
31792,-23.571306600000003,-46.6582967,-23.56956,-46.656151,Sao Paulo,2019-05-20 21:05:42.230
43383,-25.439099,-49.281212,-25.424746,-49.282003,Curitiba,2019-05-19 11:32:35.992
33943,-3.7411363,-38.4717768,-3.740944,-38.478319,Fortaleza,2019-05-20 20:21:49.031
45496,-23.5797475,-46.5943652,-23.6185458,-46.63845209999999,Sao Paulo,2019-05-19 19:44:26.371
